Row Labels,study,av_est_income,av_se_income,inverse_se_income
1,Howe and Linaweaver (1967),0.715075,0.20095,4.976362279
2,Danielson (1979),0.349666667,0.042666667,23.43749982
3,Billings and Agthe (1980),1.68,1.9,0.526315789
5,Grafton et al (2009),0.01,0.022,45.45454545
6,Hoffman et al (2006),0.24975,0.0203,49.26108374
7,Hoglund (1999),0.152285714,0.030543715,32.73995976
8,Olmstead et al.(2007),0.11955,0.0331,30.21148036
9,Zaied and Binet (2015),0.185,0.212801415,4.699216873
11,Hewitt and Hanemann (1995),0.15392,0.088637974,11.28184631
12,Musolesi and Nosvelli (2007),0.24680395,0.11631275,8.597509731
13,Nauges and Thomas (2003),0.300247918,0.044938012,22.25287581
14,Yoo et al.(2014),0.036,0.0112245,89.0908281
16,Lyman (1992),0.1155,0.075407089,13.26135266
17,Hewitt (2000),2.1709,1.265830904,0.789994933
18,Nauges and Thomas (2000),0.1875,0.047472417,21.06486383
19,Renwick and Green (2000),0.15,0.08,12.5
20,Almendarez-Hernandez et al. (2016),0.18278086,0.10301672,9.7071621
21,Schleich and Hillenbrand (2009),0.3865,0.10594305,9.439033518
22,Binet et al.(2014),0.17475,0.210604391,4.748239081
23,Bartczak et al.(2009),0.138,0.07,14.28571429
24,Dharmaratna and Harris (2012),0.11264,0.018309655,54.61599358
27,Klassert et al. (2018),0.106766667,0.009983333,100.1669483
30,Mansur and Olmstead (2012),0.083,0.024,38.56041181
31,Polycarpou and Zachariadis (2013),0.641,0.2625,3.80952381
32,Reynaud et al. (2016),0.567333333,0.243333333,4.109589047
33,Strong and Smith (2010),0.199933333,0.133923896,7.466927336
34,Mazzanti and Montini (2006),0.572355556,0.232403058,4.302869371
36,Kavezeri-Karuaihe et al. (2005),-0.2055,0.2751683,3.634139543
37,Gottlieb (1963),0.551353,0.281302296,3.554894554
41,Gibs (1978),0.8,0.31015614,3.224182504
42,Morgan (1973),0.465,0.178810891,5.592500515
44,Wong (1972),0.561711667,0.369295,2.707862278
47,Agthe and Billings (1980),1.45625,0.896998297,1.114829318
49,Hanke and Mare (1982),0.111879,0.0343187,29.13863287
51,Jones and Morris (1984),0.48,0.2563369,3.90111607
52,Nieswiadomy and Molina (1989),0.134473785,0.05137913,19.46315557
53,Palencia (1988),0.541,0.1612345,6.202146563
54,Thomas and Syme (1988),0.211302767,0.069852933,14.31579115
55,Williams (1985),0.14285,0.192423861,5.196860695
56,Dandy et al. (1997),0.303333333,0.154694253,6.464364258
57,Griffin and Chang (1991),0.128,0.011531532,86.71874648
58,Griffin and Chang (1990),0.39,0.198979592,5.025641022
59,Martin and Wilder (1992),0.11,0.030042017,33.28671307
60,Nieswiadomy (1992),0.1275,0.157016831,6.368743998
61,Nieswiadomy and Cobb (1993),0.2325,0.313475275,3.190044255
62,Nieswiadomy and Molina (1991),0.13,0.026703076,37.44886919
64,Renwick and Archibald (1998),0.3668406,0.02766339,36.14885956
65,Rietveld et al. (1997),0.049,0.003,333.3333333
66,Schneider and Whitlatch (1991),0.215870711,0.073879648,13.5355274
67,Stevens et al. (1992),0.17,0.242133733,4.12994913
68,Arbues  et al. (2004),0.124,0.063124,15.84183512
69,Arbues and Villanua (2006),0.7919,0.4037305,2.476899813
70,Saleth and Dinar (1997),-0.160666667,0.026221116,38.13720209
71,Bar-Shira et al. (2005),0.1389,0.0857407,11.6630725
72,Garcia and Reynaud (2004),0.10395,0.03425,29.19708029
73,Gaudin (2006),0.293333333,0.158166667,6.322444665
74,Gaudin et al. (2001),0.022,0.106993197,9.346388631
75,Ghavidelfar et al. (2016),0.09,0.169811321,5.88888888
76,Gunatilake et al. (2001),0.08,0.0158,63.29113924
